"","0.045-4","0.0451-4","0.0452-4","0.0453-4","0.0454-4","0.0455-4","0.0456-4","0.0457-4","0.0458-4","0.0459-4","0.046-4","0.0461-4","0.0462-4","0.0463-4","0.0464-4","0.0465-4","0.0466-4","0.0467-4","0.0468-4","0.0469-4","0.047-4","0.0471-4","0.0472-4","0.0473-4","0.0474-4","0.0475-4"
"1",1.281567069206,1.26207044889699,1.24997415216191,1.25869984856593,1.26688072564147,1.25087978477995,1.27184588746478,1.28188981232191,1.26743759478784,1.27708280136901,1.26384407749208,1.29194274446171,1.24256567419708,1.30010008300684,1.26925668409179,1.27747616865999,1.25097279670571,1.28021312398853,1.25362845674578,1.28492526391594,1.25757747763765,1.30224332297394,1.22265149409673,1.24091513835441,1.24861789987447,1.24085071663243
"2",1.39818819013649,1.41456267525872,1.49639916981747,1.43382511421837,1.41253268155617,1.4350434844797,1.47753099921703,1.44246123946895,1.4419718203844,1.44431339192403,1.44547033667409,1.47275208967518,1.46141739012569,1.44821760160009,1.45805166438766,1.46059651601255,1.44701060579089,1.41582269079699,1.43342739396609,1.50832630919059,1.45972663127833,1.45665394581637,1.40311677693305,1.46772170417142,1.41576814269104,1.43722368247469
"3",1.28709284990424,1.27497582044302,1.25623670329816,1.28613365309449,1.30914149840191,1.27620973260154,1.28085758211595,1.26196533399309,1.24424957542422,1.28062965732402,1.28693302883662,1.29475103257385,1.26757994206054,1.28249070506534,1.28456081449326,1.3214506851802,1.31863856946069,1.30701245303424,1.27107863808638,1.28164241794423,1.30208082585137,1.28831263263165,1.28060196670438,1.31621506256404,1.28887620041854,1.32087536661674
"4",1.03155484678434,1.05604321472601,1.04595438983556,1.08314722206265,1.05243868920243,1.05465276746935,1.04852297269128,1.04845671798356,1.04353358112594,1.04905079907681,1.06252127531155,1.05121307656012,1.0577507267127,1.05421805236752,1.06682617567017,1.06980653942149,1.05125829135096,1.04392003571331,1.0763261095341,1.06279280823075,1.07656117379178,1.05388083597789,1.08756799737486,1.04355742946787,1.02514429392675,1.05452211782995
"5",1.35245912679479,1.32785387261725,1.35907849239776,1.29657185913909,1.33224413176893,1.31735802597927,1.34526496546544,1.34949620831182,1.31929309734859,1.36707315628305,1.35879643267149,1.35787721303588,1.33546881381406,1.33037353001935,1.30356078214468,1.35197920708855,1.33911526604381,1.36304134928179,1.32351531175611,1.3322119670022,1.34399377339392,1.32262358797002,1.29459788084916,1.3381533270406,1.37101326909939,1.33233675311884
"6",1.89978494398343,1.84696869218932,1.87729966612841,1.90675643027672,1.88784394362373,1.92094873439912,1.89484120968703,1.90843618419215,1.85121303780699,1.88429335548964,1.84306959219142,1.85916515711503,1.88130940382131,1.89688312970244,1.90859898925636,1.91423934817672,1.84716263834964,1.82722718057523,1.91344603231706,1.9069679629484,1.88290376472177,1.8660724588176,1.84489479642244,1.89093019023715,1.83560154227342,1.88678662832018
"7",1.22367230774245,1.20341780498474,1.19946025557423,1.2019184380873,1.16629842028753,1.187691994717,1.24982104252158,1.22871253704294,1.18151737734991,1.2000515483983,1.20829048387392,1.21353388585268,1.18104957142751,1.21805265247074,1.19286655922295,1.20049585106808,1.20746339831652,1.19544112686697,1.1689137576243,1.2039714125716,1.20261660087374,1.2109008102512,1.23930424546038,1.21689053860413,1.19400408356254,1.2097231945339
"8",1.52714262755913,1.49910639918694,1.47477848501189,1.50084782434377,1.46393173336153,1.51699503013444,1.48724735419511,1.52619965150875,1.50633960477061,1.49918425388061,1.48435806727134,1.52211016581562,1.46491004197035,1.43929973337212,1.47134721144907,1.48123761018769,1.51707180212699,1.48015370979599,1.50141950666699,1.48242147254697,1.46699068128248,1.48453491921084,1.45123423633907,1.48297577590852,1.47969621516859,1.49716641304986
"9",1.22109553371918,1.24963068215133,1.27574180390303,1.23362576452228,1.27593345827526,1.24971533435146,1.23820618517929,1.26371687965408,1.23511460707848,1.29116809059717,1.27811606601946,1.21968518609878,1.26685678036305,1.26260167324749,1.19525070587113,1.23537939262821,1.28506615634802,1.28917675303114,1.24428878133228,1.22890970904507,1.21628372902012,1.24324884385624,1.23957438398095,1.256759504411,1.21341144693347,1.24808010774028
"10",1.73205809097749,1.72517706561551,1.73765715411308,1.69770346081704,1.72241731274275,1.74825169607214,1.72147553775021,1.72094667186003,1.71941509069481,1.7673140737117,1.72745120425553,1.75974166026567,1.76828353203194,1.72909261903921,1.75662021208027,1.69192260136015,1.7605477442745,1.8000964400223,1.71378551525062,1.74553272741643,1.71710611408098,1.71713823651874,1.7488761216839,1.7334542890456,1.70836827918821,1.72472171074851
